行政區,土地面積,總人口數,男性人數,女性人數,人口密度,每戶人數,每戶成年人數,所得收入總計,可支配所得,消費支出,儲蓄,所得總額
松山區,9.2878,200767,93749,107018,21616,3.1,2.69,1882186,1549005,1261799,287205,2027777
信義區,11.2077,216015,102546,113469,19274,2.98,2.65,1809238,1537519,1200421,337098,1944642
大安區,11.3614,303209,141137,162072,26688,3.03,2.6,1961348,1590202,1299939,290263,2109095
中山區,13.6821,224707,104138,120569,16423,2.89,2.51,1614178,1339702,1071429,268273,1720988
中正區,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
大同區,5.6815,124081,60123,63958,21839,3.12,2.64,1575517,1313356,1012764,300591,1660340
萬華區,8.8522,183633,89891,93742,20744,3.07,2.66,1492804,1234736,1010475,224261,1572599
文山區,31.509,268657,128352,140305,8526,3.09,2.58,1617574,1348206,1139546,208660,1730811
南港區,21.8424,119036,58064,60972,5450,3.08,2.68,1597905,1353455,1082222,271232,1670561
內湖區,31.5787,282965,134826,148139,8961,3.27,2.82,1719507,1371682,1206333,165349,1850136
士林區,62.3682,279188,134375,144813,4476,3.3,2.77,1815176,1488023,1149631,338391,1918797
北投區,56.8216,250566,120295,130271,4410,3.3,2.79,1655468,1377702,1085141,292561,1747667
